Name,Type,Phone,Address,Lat,Lon
"Kwanyawa Primary Health Centre","hospital","N/A","N/A",11.771775,7.867357
"Malamawa Health Post","hospital","N/A","N/A",11.8352349,7.859759
"Bauda Health Post","hospital","N/A","N/A",11.5889756,8.1904439
"Dangora Primary Health Centre","hospital","N/A","N/A",11.5360675,8.1572761
"Durmawa Health Post","hospital","N/A","N/A",11.605175,8.2583278
"Kogo Primary Health Centre","hospital","N/A","N/A",11.6230025,8.1719512
"Maraku Health Post","hospital","N/A","N/A",11.6771255,8.1288835
"Tsaudawa Health Post","hospital","N/A","N/A",11.6809406,8.2026737
"Yako Primary Health Centre","hospital","N/A","N/A",11.6556987,8.1928273
"Bankaura Health Post","hospital","N/A","N/A",12.2707934,8.3813869
"Belli Health Post","hospital","N/A","N/A",12.3118982,8.2849823
"Bum-Bum Health Post","hospital","N/A","N/A",12.2486915,8.3970018
"Daddo Health Post","hospital","N/A","N/A",12.2998701,8.3351345
"Damargu Primary Health Centre","hospital","N/A","N/A",12.2658179,8.3215707
"Damfamin Tofa Health Post","hospital","N/A","N/A",12.2226367,8.4283419
"Gawon Bature Health Post","hospital","N/A","N/A",12.2627379,8.4188614
"Gwarmai Primary Health Centre","hospital","N/A","N/A",12.3633923,8.4054439
"Jinjimawa Health Post","hospital","N/A","N/A",12.3310091,8.2737713
"Jodade Health Post","hospital","N/A","N/A",12.3720534,8.3057174
"Kawaji Health Post","hospital","N/A","N/A",12.2319051,8.3329369
"Kirya Health Post","hospital","N/A","N/A",12.2126896,8.3888751
"Kuku Primary Health Centre","hospital","N/A","N/A",12.372987,8.2819031
"Kwamarawa Health Post","hospital","N/A","N/A",12.3302322,8.3897956
"Saye Primary Health Centre","hospital","N/A","N/A",12.275517,8.3961623
"Taddangari Primary Health Centre","hospital","N/A","N/A",12.2352404,8.309361
"Tinki Health Post","hospital","N/A","N/A",12.303154,8.3925522
"Tofawa Health Post","hospital","N/A","N/A",12.3468822,8.3289016
"Tukuibi Health Post","hospital","N/A","N/A",12.2674557,8.3416815
"Yanbundu Health Post","hospital","N/A","N/A",12.2691565,8.2931442
"Yola Health Post","hospital","N/A","N/A",12.2443931,8.2875943
"Zangon Mata Health Post","hospital","N/A","N/A",12.2334392,8.4135659
"Baje Primary Health Centre","hospital","N/A","N/A",12.3653887,8.2574267
"Chiromawa Primary Health Centre","hospital","N/A","N/A",12.321506,8.1594934
"Damisa Health Post","hospital","N/A","N/A",12.309377,8.2164745
"Danzabua Primary Health Centre","hospital","N/A","N/A",12.3458238,8.1102497
"Farsa Health Post","hospital","N/A","N/A",12.3815387,8.1012747
"Gidan Nisau Health Post","hospital","N/A","N/A",12.3579904,8.192957
"Hagawa Health Post","hospital","N/A","N/A",12.2554986,8.1690565
"Karari Health Post","hospital","N/A","N/A",12.2428387,8.1744508
"Lamba Health Post","hospital","N/A","N/A",12.3400075,8.1480733
"Malikawa Sarari Health Post","hospital","N/A","N/A",12.3805223,8.1475524
"Rigana Primary Health Centre","hospital","N/A","N/A",12.3779428,8.2101924
"Rimaye Health Post","hospital","N/A","N/A",12.2665799,8.2011596
"Tatsan Health Post","hospital","N/A","N/A",12.2885597,8.0928191
